title,price
"Встраиваемый холодильник без морозильника DEXP BIS2-0140AHE [138 л, дисплей, 59.5 см x 81.8 см x 54.5 см]","24 999 ₽"
"Встраиваемый холодильник DEXP BIB220AMA [269 л, нижняя морозильная камера, разморозка - ручное, 54 см x 178.5 см x 54.5 см]","29 999 ₽"
"Встраиваемый холодильник без морозильника KRONA GORNER KRMFR101 [133 л, 59.5 см x 81.2 см x 54.8 см]","33 299 ₽"
"Встраиваемый холодильник Ascoli ADRF225WBI [225 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 180 см x 53.5 см]","37 299 ₽"
"Встраиваемый холодильник DEXP BIB4-0250AHE [240 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 177.2 см x 54 см]","39 499 ₽"
"Встраиваемый холодильник DEXP Fresh BIB420AMA [241 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 178.5 см x 54.5 см]","39 999 ₽"
"Встраиваемый холодильник без морозильника Beko BU1100HCA [128 л, 59.8 см x 82 см x 54.5 см]","42 999 ₽"
"Встраиваемый холодильник без морозильника MAUNFELD MBL88SW [135 л, 59.6 см x 82 см x 55 см]","43 999 ₽"
"Встраиваемый холодильник Haier HUR100RU [100 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 82 см x 54.5 см]","47 999 ₽"
"Встраиваемый холодильник без морозильника Haier HUL110RU [110 л, 59.5 см x 82 см x 54.5 см]","47 999 ₽"
"Встраиваемый холодильник Korting KSI 8185 [115 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 81.2 см x 54.8 см]","48 299 ₽"
"Встраиваемый холодильник Hansa BK2815.0N [281 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 194 см x 54 см]","57 499 ₽"
"Встраиваемый холодильник Gorenje NRKI4182P1 [240 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 177.2 см x 54 см]","58 799 ₽"
"Встраиваемый холодильник Ascoli ADRF225WBI [225 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 180 см x 53.5 см]","37 299 ₽"
"Встраиваемый холодильник без морозильника Haier HUL110RU [110 л, 59.5 см x 82 см x 54.5 см]","47 999 ₽"
"Встраиваемый холодильник DEXP BIB4-0250AHE [240 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 177.2 см x 54 см]","39 499 ₽"
"Встраиваемый холодильник DEXP Fresh BIB420AMA [241 л, нижняя морозильная камера, разморозка - No Frost, дисплей, 54 см x 178.5 см x 54.5 см]","39 999 ₽"
"Встраиваемый холодильник без морозильника Beko BU1100HCA [128 л, 59.8 см x 82 см x 54.5 см]","42 999 ₽"
"Встраиваемый холодильник Haier HUR100RU [100 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 82 см x 54.5 см]","47 999 ₽"
"Встраиваемый холодильник Korting KSI 8185 [115 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 81.2 см x 54.8 см]","48 299 ₽"
"Встраиваемый холодильник без морозильника MAUNFELD MBL88SW [135 л, 59.6 см x 82 см x 55 см]","43 999 ₽"
"Встраиваемый холодильник Hansa BK2815.0N [281 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 194 см x 54 см]","57 499 ₽"
"Встраиваемый холодильник Gorenje NRKI4182P1 [240 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 177.2 см x 54 см]","58 799 ₽"
"Встраиваемый холодильник Beko BCHA2752S [262 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 177.5 см x 54.5 см]","59 999 ₽"
"Встраиваемый холодильник Haier HRF229BIRU [229 л, нижняя морозильная камера, разморозка - ручное, 54 см x 180 см x 53.5 см]","59 999 ₽69 999"
"Встраиваемый холодильник Zigmund & Shtain BR 03.1772 SX [250 л, нижняя морозильная камера, разморозка - ручное, 54 см x 178.5 см x 54 см]","60 799 ₽"
"Встраиваемый холодильник Gorenje RKI2181E1 [260 л, нижняя морозильная камера, разморозка - ручное, 54.5 см x 177.2 см x 54 см]","63 499 ₽"
"Встраиваемый холодильник без морозильника MAUNFELD MBL177SW [316 л, 54 см x 176.9 см x 54.5 см]","65 799 ₽"
"Встраиваемый холодильник без морозильника Haier HUL110RU [110 л, 59.5 см x 82 см x 54.5 см]","47 999 ₽"
"Встраиваемый холодильник Korting KSI 8185 [115 л, верхняя морозильная камера, разморозка - ручное, 59.5 см x 81.2 см x 54.8 см]","48 299 ₽"
"Встраиваемый холодильник Hansa BK2815.0N [281 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 194 см x 54 см]","57 499 ₽"
"Встраиваемый холодильник Gorenje NRKI4182P1 [240 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 177.2 см x 54 см]","58 799 ₽"
"Встраиваемый холодильник Beko BCHA2752S [262 л, нижняя морозильная камера, разморозка - No Frost, 54 см x 177.5 см x 54.5 см]","59 999 ₽"
"Встраиваемый холодильник Haier HRF229BIRU [229 л, нижняя морозильная камера, разморозка - ручное, 54 см x 180 см x 53.5 см]","59 999 ₽69 999"
"Встраиваемый холодильник Zigmund & Shtain BR 03.1772 SX [250 л, нижняя морозильная камера, разморозка - ручное, 54 см x 178.5 см x 54 см]","60 799 ₽"
"Встраиваемый холодильник Gorenje RKI2181E1 [260 л, нижняя морозильная камера, разморозка - ручное, 54.5 см x 177.2 см x 54 см]","63 499 ₽"
"Встраиваемый холодильник без морозильника MAUNFELD MBL177SW [316 л, 54 см x 176.9 см x 54.5 см]","65 799 ₽"